OBJECTID,LIFECYCLESTATUS,INSTALLDATE,ASSET_TYPE,ASSET_ID,ENTNAME,ROAD_ID,ADDRESS_ID,CIVIC_ADDRESS,OWNER,ASBUILTNUMBER,POSITION_ACCURACY,ACCESSTYPE,ACCESSDIAMETER,TOPOFCATCHBASIN,INVERTELEVATION,SUMP,x,y
1,Active,1/1/1988 12:00:00 AM,Single Catchbasin,10041975,CB-1142199,8178,75714,293 BUSHVIEW CRES,City of Waterloo,,Estimated/Unknown,Grate,,0,,Yes,-80.5674338721479,43.4957419156774
2,Active,1/1/1994 12:00:00 AM,Single Catchbasin,10038271,CB-1117733,25204,94798,434 EASTBRIDGE BLVD,City of Waterloo,5-1634,Aerial Photo +/- 0.5m,Grate,,0,,Yes,-80.5045297727002,43.5046678383831
3,Active,1/1/1988 12:00:00 AM,Single Catchbasin,10037683,MA41R-017,4700,75919,367 STONEHEIGHT PL,City of Waterloo,,Estimated/Unknown,Grate,,349.575,,Yes,-80.5701934798271,43.4965905633588
4,Active,1/1/1985 12:00:00 AM,Single Catchbasin,10131816,CLRS13R-57A,2222222,79253,575 HEMINGWAY PL,City of Waterloo,5-1222,Eng Dwg/As Built +/- 2m,Grate,,370.54,369.934,NA,-80.5653751605586,43.4507770333193
5,Active,1/1/1979 12:00:00 AM,Single Catchbasin,10040491,CLRN18R-134,618,79070,103 MCCRAE PL,City of Waterloo,5-1015,Aerial Photo +/- 0.5m,Grate,,366.299,,Yes,-80.5639036724831,43.4531402148248
6,Active,1/1/2004 12:00:00 AM,Single Catchbasin,10042627,CB-1127538,7209,92596,92 COLUMBIA ST W,City of Waterloo,,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.5339084616423,43.4792180278505
7,Active,11/1/2016 12:00:00 AM,Single Catchbasin,10184264,CB-1152437,3322,88588,580 COLBY DR,Region of Waterloo,,Eng Dwg/As Built +/- 2m,,,,,,-80.5369502410194,43.5005174738892
8,Active,1/6/2011 12:00:00 AM,Single Catchbasin,10043995,CB-1148447,80132,118176,374 BAMBERG CRES,City of Waterloo,5-2239,Eng Dwg/As Built +/- 2m,Grate,,,,Yes,-80.5796828611543,43.4533000770274
9,Active,1/1/1970 12:00:00 AM,Single Catchbasin,10204376,CB-1163907,7991,73972,603 GLENDENE CRES,City of Waterloo,,Field Notes,,,,,Yes,-80.5571307964025,43.491232401871
10,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10044386,CB-1142601,28097,70584,759 COLUMBIA FOREST BLVD,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.5904374685888,43.4627734408677
11,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10039758,CB-1142608,28098,70590,801 COLUMBIA FOREST CRT,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.591559366111,43.4616471225967
12,Active,1/1/2004 12:00:00 AM,Single Catchbasin,10040770,CB-1144724,28904,103189,570 ST MORITZ AVE,City of Waterloo,5-2143,Aerial Photo +/- 0.5m,Grate,,,,Yes,-80.5831405761322,43.453516342643
13,Active,1/1/1962 12:00:00 AM,Single Catchbasin,10037388,C6R-31,7235,93271,470 PHILLIP ST,City of Waterloo,,GPS +/- 0.5m,Grate,,345.655,,No,-80.5396200090108,43.484282619532
14,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10042895,CB-1142607,28098,70601,800 COLUMBIA FOREST CRT,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.591661857896,43.4617523037566
15,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10044243,CB-1142603,28097,71230,774 COLUMBIA FOREST BLVD,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.5909069378197,43.4624491523351
16,Active,1/1/2000 12:00:00 AM,Single Catchbasin,10037283,CB-1142751,28042,99892,845 MUNICH CIR,City of Waterloo,,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.5892273522648,43.4601363222923
17,Active,1/1/1982 12:00:00 AM,Single Catchbasin,10041937,CB-1122799,7969,86902,130 DEARBORN PL,City of Waterloo,5-1153,TSS,Grate,,324.189,,Yes,-80.5181077882691,43.4873197454433
18,Active,1/1/2004 12:00:00 AM,Single Catchbasin,10041517,CB-1143665,29465,102709,350 SAUVE CRES,City of Waterloo,5-2132,Aerial Photo +/- 0.5m,Grate,,0,,Yes,-80.5766258901911,43.4501454278338
19,Active,1/1/2000 12:00:00 AM,Single Catchbasin,10044196,CB-1142753,28042,99897,865 MUNICH CIR,City of Waterloo,,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.5885801374196,43.4606553950997
20,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10043175,CLN39L-66,27149,70592,815 COLUMBIA FOREST CRT,City of Waterloo,,Digitized +/- 2m,Grate,,370.2,,Yes,-80.5917210373896,43.4612698153464
21,Active,1/1/2005 12:00:00 AM,Double Catchbasin,10037084,CB-1143051,30176,103371,869 LAURELWOOD DR,City of Waterloo,,Estimated/Unknown,Grate,,0,,Yes,-80.6028509148688,43.4733893802877
22,Active,1/1/2003 12:00:00 AM,Double Catchbasin,10042808,CB-1143061,29142,102061,511 BLUE BEECH BLVD,City of Waterloo,,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.592281090548,43.468162571341
23,Active,12/18/2012 12:00:00 AM,Single Catchbasin,10043858,CB-1145091,80103,119902,289 BUTTONBUSH ST,City of Waterloo,5-2252,Eng Dwg/As Built +/- 2m,Grate,,,,,-80.5895138451986,43.451423384924
24,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10043604,CB-1103385,26338,70886,647 COLUMBIA FOREST BLVD,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.5861658906631,43.4640901140175
25,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10041363,CB-1103387,26337,70889,631 COLUMBIA FOREST BLVD,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.5855397771764,43.4643150097542
26,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10040972,CB-1103384,26338,70884,667 COLUMBIA FOREST BLVD,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.5867703586119,43.4638735466796
27,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10044240,CB-1142604,28097,98956,699 BLACK CHERRY ST,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.5906060995204,43.46281255902
28,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10039574,CB-1142606,28098,70587,787 COLUMBIA FOREST BLVD,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.5910387234192,43.4620436159029
29,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10042144,CB-1142602,28097,71216,775 COLUMBIA FOREST BLVD,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.5907816848201,43.4623561998021
30,Active,10/1/2007 12:00:00 AM,Single Catchbasin,10041404,CB-1149291,10606,84688,79 ELLIS CRES S,City of Waterloo,15-741,Eng Dwg/As Built +/- 2m,Grate,,111.111,111.111,Yes,-80.5057470275757,43.4688160362064
31,Active,1/1/2007 12:00:00 AM,Single Catchbasin,10041323,CB-1145818,283,89183,64 UNION ST E,City of Waterloo,15-760,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.5137866302943,43.4613267881916
32,Active,1/1/2000 12:00:00 AM,Single Catchbasin,10044145,CB-1142828,26983,98451,721 KARLSFELD RD,City of Waterloo,5-1829,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.578210750899,43.4571676901238
33,Active,1/1/2004 12:00:00 AM,Single Catchbasin,10038829,CB-1143667,29463,102687,413 ST ARMAND DR,City of Waterloo,5-2129,Aerial Photo +/- 0.5m,Grate,,0,,Yes,-80.573435390013,43.4505697242449
34,Active,1/1/1972 12:00:00 AM,Single Catchbasin,10039242,CB-1127476,7369,93787,511 ALBERT ST,City of Waterloo,,GPS +/- 0.5m,Grate,,337.885,,Yes,-80.5416404031249,43.4872641026799
35,Active,1/1/1994 12:00:00 AM,Double Catchbasin,10044285,CN8L-195,25229,71152,443 CABOT TRAIL,City of Waterloo,5-1638,Aerial Photo +/- 0.5m,Grate,,0,,Yes,-80.5022439654336,43.5051473377324
36,Active,1/1/2010 12:00:00 AM,Single Catchbasin,10043921,CB-1150180,80064,102791,656 INTERLAKEN DR,City of Waterloo,5-2345,Aerial Photo +/- 0.5m,Grate,,,377.5,Yes,-80.5841864493458,43.4544152883857
37,Active,1/1/1962 12:00:00 AM,Single Catchbasin,10040838,L32L-121,7233,91965,366 HAZEL ST,City of Waterloo,,GPS +/- 0.5m,Grate,,339.138,,No,-80.5321685931851,43.4805904657103
38,Active,1/1/1955 12:00:00 AM,Single Catchbasin,10038128,L38R-188,10299,83347,244 UNION ST E,City of Waterloo,,P(0.1),Grate,,337.266,,,-80.5010456835499,43.4669104965836
39,Active,1/1/2005 12:00:00 AM,Single Catchbasin,10040318,CB-1143680,80167,103266,783 LUCERNE AVE,City of Waterloo,5-2145,Aerial Photo +/- 0.5m,Grate,,0,,Yes,-80.5811673051525,43.4536448161611
40,Active,1/1/2001 12:00:00 AM,Single Catchbasin,10041373,CB-1142577,28457,99233,400 LAUSANNE CRES,City of Waterloo,5-1979,Aerial Photo +/- 0.5m,Grate,,0,,Yes,-80.572810015503,43.4512986197015
41,Active,11/1/2016 12:00:00 AM,Single Catchbasin,10184266,CB-1152525,3326,88557,53 NORTHFIELD DR W,Region of Waterloo,15-1075,Eng Dwg/As Built +/- 2m,,,342.253,340.706,,-80.5373149742084,43.5000799492058
42,Active,12/31/2014 12:00:00 AM,Single Catchbasin,10038575,CB-1150612,1799,91427,374 HOLLY ST,City of Waterloo,15-862,Eng Dwg/As Built +/- 2m,Grate,,,,Yes,-80.5291069247305,43.4818454768047
43,Active,1/1/2004 12:00:00 AM,Single Catchbasin,10043346,CB-1144543,28904,102828,651 INTERLAKEN DR,City of Waterloo,5-2143,Aerial Photo +/- 0.5m,Grate,,,,Yes,-80.5832824829612,43.4541757404239
44,Active,5/1/2005 12:00:00 AM,Single Catchbasin,10044357,CB-1149818,3557,82738,326 FORESTLAWN RD,Region of Waterloo,41-353,Eng Dwg/As Built +/- 2m,Grate,,331.012,330.012,,-80.5026426055562,43.4973980349803
45,Active,,Single Catchbasin,10038371,CB-1128948,7552,91705,12 BRIDGEPORT RD E,Region of Waterloo,,GPS +/- 0.5m,Grate,,324.9,,,-80.5219168426221,43.4678962023645
46,Active,5/1/2005 12:00:00 AM,Single Catchbasin,10037331,CB-1150106,7703,82528,325 CRIMSON CRES,Region of Waterloo,41-349,Eng Dwg/As Built +/- 2m,Grate,333.54,,332.603,,-80.4984161318155,43.493525980975
47,Active,1/1/1965 12:00:00 AM,Single Catchbasin,10043315,CB-1101670,8981,88132,432 KING ST N,Region of Waterloo,41-570,GPS +/- 0.5m,Grate,600,335.386,,,-80.5269217273554,43.4862129958393
48,Active,1/1/1971 12:00:00 AM,Single Catchbasin,10041943,CB-1128617,5935,93334,79 WESTMOUNT RD N,Region of Waterloo,5-313,GPS +/- 0.5m,Grate,,329.323,,,-80.5390138014653,43.4621586071959
49,Active,1/1/1996 12:00:00 AM,Single Catchbasin,10038914,CB-1117776,25223,97806,434 CHESAPEAKE DR,City of Waterloo,5-1719,Aerial Photo +/- 0.5m,Grate,,0,,Yes,-80.5087890472713,43.506702122371
50,Active,6/1/2011 12:00:00 AM,Single Catchbasin,10038862,CB-1145005,80053,120321,559 SUNDEW DR,City of Waterloo,5-2264,Eng Dwg/As Built +/- 2m,Grate,,,,,-80.5974552386755,43.4580645064008
51,Active,6/1/2011 12:00:00 AM,Single Catchbasin,10045199,CB-1144938,80078,120193,512 SUNDEW DR,City of Waterloo,5-2273,Eng Dwg/As Built +/- 2m,Grate,,,,,-80.5962638585956,43.4561713796059
52,Active,6/1/2011 12:00:00 AM,Single Catchbasin,10039855,CB-1145062,80053,120324,571 SUNDEW DR,City of Waterloo,5-2264,Eng Dwg/As Built +/- 2m,Grate,,,,,-80.5979127012545,43.4585525067872
53,Active,1/1/2011 12:00:00 AM,Single Catchbasin,10045058,CB-1145298,80057,120236,457 AVENS ST,City of Waterloo,5-2258,Eng Dwg/As Built +/- 2m,Grate,,,,,-80.5973992575661,43.4541538807025
54,Active,5/5/1987 12:00:00 AM,Single Catchbasin,10040891,CN2R-37,27326,82333,454 FORESTLAWN RD,City of Waterloo,5-1302B,Aerial Photo +/- 0.5m,Grate,,329.61,,Yes,-80.4961525902717,43.5021110271279
55,Active,11/1/2016 12:00:00 AM,Single Catchbasin,10184151,CB-1152452,1594,89888,180 KING ST S,Region of Waterloo,41-629,Eng Dwg/As Built +/- 2m,,,327.14,325.377,,-80.5196690900601,43.4606362109277
56,Active,11/1/2016 12:00:00 AM,Single Side Inlet Catchbasin,10188642,CB-1161814,1615,104875,55 KING ST S,Region of Waterloo,41-627,Eng Dwg/As Built +/- 2m,,,,321.093,,-80.5220488960488,43.4637329219399
57,Active,8/1/2017 12:00:00 AM,Single Catchbasin,10181189,CB-1152420,1615,110705,13 KING ST S,Region of Waterloo,41-646,Eng Dwg/As Built +/- 2m,,,324.35,322.602,,-80.5223204169405,43.4648821638519
58,Active,1/1/1965 12:00:00 AM,Single Catchbasin,10039646,CB-1112133,5657,71409,42 ROOSEVELT AVE,City of Waterloo,5-329,GPS +/- 0.5m,Grate,,349.209,,Yes,-80.5466310397414,43.4519421488459
59,Active,10/1/2018 12:00:00 AM,Single Catchbasin,10248878,CB-1165462,3972,80529,320 CORNRIDGE PL,City of Waterloo,5-2411,Eng Dwg/As Built +/- 2m,Grate,,368,366.24,Yes,-80.5765815926162,43.459116375608
60,Active,1/1/1992 12:00:00 AM,Single Catchbasin,10044293,CB-1103555,3972,80480,326 CORNRIDGE PL,City of Waterloo,,GPS +/- 0.5m,Grate,,367.57,,Yes,-80.5768072987317,43.4593381031873
61,Active,1/1/1988 12:00:00 AM,Single Catchbasin,10045287,CB-1115737,13025,81875,378 RIVER OAK DR,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.481238768712,43.5008058664488
62,Active,1/24/2017 12:00:00 AM,Single Catchbasin,10143548,CB-1151270,7494,86114,295 GLENRIDGE DR,City of Waterloo,15-1078 to 15-1083,Eng Dwg/As Built +/- 2m,Grate,600,327.451,326.199,,-80.5113454506747,43.4838541440261
63,Active,6/1/2011 12:00:00 AM,Double Catchbasin,10037874,CB-1145198,80075,125003,551 MAYAPPLE ST ,City of Waterloo,5-2265,Eng Dwg/As Built +/- 2m,Grate,,,,,-80.5979292356433,43.4591428687175
64,Active,6/1/2011 12:00:00 AM,Double Catchbasin,10043862,CB-1150987,80053,120302,578 SUNDEW DR,City of Waterloo,5-2265,Eng Dwg/As Built +/- 2m,Grate,,,,,-80.5978587244562,43.4588317301703
65,Active,6/1/2011 12:00:00 AM,Double Catchbasin,10045136,CB-1149721,80053,120139,577 SUNDEW DR,City of Waterloo,5-2265,Eng Dwg/As Built +/- 2m,Grate,,,,,-80.5979804159042,43.4588416954773
66,Active,1/24/2017 12:00:00 AM,Double Catchbasin,10143547,CB-1151269,7494,86116,309 GLENRIDGE DR,City of Waterloo,15-1078 to 15-1083,Eng Dwg/As Built +/- 2m,Grate,1450,327.398,326.06,Yes,-80.5110800992685,43.4842324422523
67,Active,1/1/1850 12:00:00 AM,Double Catchbasin,10039850,CB-1150354,1111111,89756,19 JOHN ST W,City of Waterloo,Site Plan 227 King St. S As Built,Site Plan +/- 2m,Grate,,331.16,111.111,,-80.5183405998777,43.4583689010073
68,Active,1/24/2017 12:00:00 AM,Single Catchbasin,10143546,CB-1151266,7494,86122,279 GLENRIDGE PL,City of Waterloo,15-1078 to 15-1083,Eng Dwg/As Built +/- 2m,Grate,600,328.428,327.082,Yes,-80.5109794114049,43.4852300895602
69,Active,1/1/1989 12:00:00 AM,Single Catchbasin,10045130,CB-1115736,27326,94863,490 FORESTLAWN RD,City of Waterloo,5-1450,Aerial Photo +/- 0.5m,Grate,,0,,Yes,-80.4940390920742,43.4995590737566
70,Active,1/1/1967 12:00:00 AM,Double Catchbasin,10040487,CB-1127977,8052,72688,695 GLEN FORREST BLVD,City of Waterloo,,Estimated/Unknown,Grate,,346.292,,Yes,-80.5510280193062,43.493243703768
71,Active,1/1/1973 12:00:00 AM,Single Catchbasin,10039302,C19R-001,7996,75027,602 ROLLING HILLS DR,City of Waterloo,,Estimated/Unknown,Grate,,345.177,,Yes,-80.5623433830755,43.4884730981052
72,Active,1/1/1975 12:00:00 AM,Single Catchbasin,10042897,L85L-27,7354,75236,320 DALESIDE PL,City of Waterloo,,Estimated/Unknown,Grate,,349.371,,Yes,-80.5642522664789,43.4864148763402
73,Active,1/1/1961 12:00:00 AM,Single Catchbasin,10043371,L32L-171,384,92137,80 HICKORY ST W,City of Waterloo,,GPS +/- 0.5m,Grate,,338.31,,,-80.5327386919562,43.4771180036425
74,Active,1/1/1975 12:00:00 AM,Single Catchbasin,10037473,CB-1105810,2222222,77215,452 MIDWOOD CRES,City of Waterloo,5-829,GPS +/- 0.5m,Grate,,341.295,,NA,-80.5547348918889,43.4565814094439
75,Active,1/1/1982 12:00:00 AM,Single Catchbasin,10038749,CB-1122798,7969,86825,134 DEARBORN PL,City of Waterloo,5-1153,TSS,Grate,,324.598,,Yes,-80.5169921712296,43.4873234032975
76,Active,1/1/2004 12:00:00 AM,Double Catchbasin,10043110,CB-1127539,7209,92500,98 COLUMBIA ST W,City of Waterloo,,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.5346161394606,43.4789669300132
77,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10037069,CB-1142605,28098,70602,786 COLUMBIA FOREST BLVD,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.591170430374,43.4621361788351
78,Active,1/1/1996 12:00:00 AM,Single Catchbasin,10037153,CB-1122773,7846,88067,401 WEBER ST N,City of Waterloo,"5-1729,5-513",Total Station +/- 0.5m,Grate,,332.217,330.92,Yes,-80.5249174628178,43.4847385236974
79,Active,12/19/2003 12:00:00 AM,Double Catchbasin,10037807,CB-1143025,29421,102434,401 SPICE BUSH ST,City of Waterloo,5-2116,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.5970265950873,43.4682050351229
80,Active,1/1/1998 12:00:00 AM,Double Catchbasin,10039371,CB-1103378,26343,70420,624 WHITE ELM BLVD,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.5872967990734,43.4660369800679
82,Active,1/1/2002 12:00:00 AM,Single Catchbasin,10044288,CB-1150861,28952,104724,0 LAURELWOOD DR,City of Waterloo,5-2095,Eng Dwg/As Built +/- 2m,Grate,,,,,-80.5919938069948,43.4718363590824
83,Active,1/1/1954 12:00:00 AM,Single Catchbasin,10044159,L38R-156,10310,84290,89 BRAESIDE AVE,City of Waterloo,,P(0.1),Grate,,333.159,,,-80.5040321223219,43.4686292769601
84,Active,1/1/1987 12:00:00 AM,Single Catchbasin,10044954,CB-1103596,102,80196,585 WINGROVE CRT,City of Waterloo,5-1326,Eng Dwg/As Built +/- 2m,Grate,,356.91,,Yes,-80.5721320874694,43.461639052294
85,Active,11/1/2016 12:00:00 AM,Single Side Inlet Catchbasin,10205313,CB-1164185,30205,121644,85 WILLIS WAY ,Region of Waterloo,41-610,Eng Dwg/As Built +/- 2m,,,,323.4,,-80.5236967939332,43.4627104459439
86,Active,1/1/2000 12:00:00 AM,Single Catchbasin,10037591,CB-1142829,26983,98461,695 KARLSFELD RD,City of Waterloo,5-1829,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.5788036943121,43.4577253300153
87,Active,1/1/1953 12:00:00 AM,Single Catchbasin,10041524,CB-1166894,20547,92310,129 EMPIRE ST,City of Waterloo,,TSS,Grate,,344.954,,Yes,-80.5311490917814,43.4529362193498
88,Active,6/1/2017 12:00:00 AM,Double Catchbasin,10045689,CB-1147746,80119,125411,801 SUNDROPS CRT ,City of Waterloo,5-2367,Eng Dwg/As Built +/- 2m,Grate,,,,,-80.6036771616547,43.461978755661
89,Active,1/1/1988 12:00:00 AM,Single Catchbasin,10037497,CB-1115740,12381,81856,325 RIVER OAK PL,City of Waterloo,,Digitized +/- 2m,Grate,,0,,Yes,-80.4816222922839,43.5018721555889
90,Active,1/1/2003 12:00:00 AM,Single Catchbasin,10042920,CB-1112045,20547,92310,129 EMPIRE ST,City of Waterloo,15-630,TSS,Grate,,345.04,344.15,Yes,-80.5312406658302,43.4529038882488
91,Active,1/1/1953 12:00:00 AM,Double Catchbasin,10039830,L55L-3B,5952,90943,30 ERB ST W,City of Waterloo,Site Plan 35 Albert St,Site Plan +/- 2m,Grate,,327.04,325.374,,-80.5249257285525,43.4655102767903
92,Active,1/1/1970 12:00:00 AM,Single Catchbasin,10204378,CB-1163908,7991,73968,602 GLENDENE CRES,City of Waterloo,,Field Notes,,,,,Yes,-80.5571950219327,43.4911754733056
93,Active,1/1/1990 12:00:00 AM,Single Catchbasin,10043649,CN15-78,25445,87439,588 STONEBURY CRES,City of Waterloo,5-1456,Aerial Photo +/- 0.5m,Grate,,336.946,,Yes,-80.5211084166187,43.5034159675265
94,Active,7/1/2009 12:00:00 AM,Single Catchbasin,10039642,CB-1143797,1111111,72009,401 ERB ST W 103,City of Waterloo,41-503,Eng Dwg/As Built +/- 2m,Grate,,,,,-80.5512820645058,43.4526674734832
95,Active,1/1/2003 12:00:00 AM,Single Catchbasin,10204382,CB-1163917,28922,101656,559 SPRINGWATER DR,City of Waterloo,5-2053,Eng Dwg/As Built +/- 2m,,,,,Yes,-80.5830747506961,43.4925627649405
96,Active,1/1/1989 12:00:00 AM,Single Catchbasin,10040798,CB-1142186,4226,75908,349 BUSHVIEW CRES,City of Waterloo,,Estimated/Unknown,Grate,,0,,Yes,-80.5699704340617,43.495823888909
97,Active,1/1/1980 12:00:00 AM,Double Catchbasin,10042592, ,3333333,76393,455 BOLINGBROOKE PL,City of Waterloo Property,5-1005B,Aerial Photo +/- 0.5m,Grate,,366,364.1,,-80.5492492836027,43.4424368981395
98,Active,1/1/1987 12:00:00 AM,Single Catchbasin,10037987, ,3333333,100309,0 TWINFLOWER CRES,City of Waterloo Property,5-1312,Eng Dwg/As Built +/- 2m,Grate,,346.272,344.847,,-80.5632509653997,43.497617930875
99,Active,1/1/1850 12:00:00 AM,Single Catchbasin,10223010,,3333333,112179,2001 UNIVERSITY AVE E,City of Waterloo Property,Site Plan 2001 University Ave E,Site Plan +/- 2m,,,111.111,327.08,,-80.5015863367937,43.5188032840316
100,Active,1/1/1989 12:00:00 AM,Single Catchbasin,10037663,CB-1142198,4226,75714,293 BUSHVIEW CRES,City of Waterloo,,Estimated/Unknown,Grate,,0,,Yes,-80.5676799755996,43.4957400136935
101,Active,1/1/1988 12:00:00 AM,Single Catchbasin,10203052,CB-1163762,4214,75933,620 OSPREY DR,City of Waterloo,,Field Notes,,,,,Yes,-80.569626045125,43.4976921245904
102,Active,1/1/1956 12:00:00 AM,Single Catchbasin,10040689,L68L-51,7294,92895,109 HICKORY ST W,City of Waterloo,,GPS +/- 0.5m,Grate,,343.5,,,-80.5348716563579,43.4760565093104
103,Active,1/1/2003 12:00:00 AM,Single Catchbasin,10042473,CB-1143064,29142,101984,426 WHITE BIRCH AVE,City of Waterloo,,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.5910976638476,43.4672379301591
104,Active,1/1/2005 12:00:00 AM,Double Catchbasin,10043228,CB-1143041,30179,103245,677 WINTERBERRY AVE,City of Waterloo,5-2168,Estimated/Unknown,Grate,,0,,Yes,-80.6016792452204,43.4737475454517
105,Active,1/1/2000 12:00:00 AM,Single Catchbasin,10040901,CB-1143654,26977,98420,696 ZERMATT DR,City of Waterloo,5-1828,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.5774377517691,43.4578788499999
106,Active,1/1/1972 12:00:00 AM,Single Catchbasin,10041549,L17L-99,7639,81449,387 LEE AVE,City of Waterloo,,TSS,Grate,,330.091,,No,-80.5044903128493,43.4931345580669
107,Active,1/1/2000 12:00:00 AM,Single Catchbasin,10037578,CB-1142752,28042,99897,865 MUNICH CIR,City of Waterloo,,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.588551771957,43.4605866339707
108,Active,1/1/1996 12:00:00 AM,Single Catchbasin,10041847,CB-1147612,3941,97340,273 PINELAND PL,City of Waterloo,5-1628,Digitized +/- 2m,Grate,,0,,Yes,-80.5751697846166,43.4704835904532
109,Active,6/1/2005 12:00:00 AM,Single Catchbasin,10037142,CB-1143230,4651,74452,355 OLD POST RD,City of Waterloo,15-730,Eng Dwg/As Built +/- 2m,Grate,,337.703,336.303,Yes,-80.5596602987803,43.4698507112584
110,Active,1/1/1988 12:00:00 AM,Single Catchbasin,10037688,CLRN21R-4B,2222222,79105,307 WILTSHIRE PL,City of Waterloo,5-1187,Eng Dwg/As Built +/- 2m,Grate,,345.928,,NA,-80.5645471012088,43.4638297743437
111,Active,1/1/2000 12:00:00 AM,Single Catchbasin,10042688,CB-1143520,27908,98628,640 BRIDGE ST W,City of Waterloo,,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.5194645888991,43.5110220946547
112,Active,1/1/2002 12:00:00 AM,Single Catchbasin,10037757,CB-1143165,28904,101412,741 LUCERNE AVE,City of Waterloo,5-2066,Aerial Photo +/- 0.5m,Grate,,0,,Yes,-80.5820862707752,43.4559761895699
113,Active,1/1/1988 12:00:00 AM,Single Catchbasin,10043779,CB-1103690,1872,80004,681 BEECHWOOD DR,City of Waterloo,5-1564,Aerial Photo +/- 0.5m,Grate,,0,,Yes,-80.5693951284216,43.4542610720314
114,Active,,Double Catchbasin,10042328,CB-1102516,7192,73912,356 POMMEL GATE CRES,City of Waterloo,,GPS +/- 0.5m,Grate,,333.51,,Yes,-80.5565353343608,43.4711861113308
115,Active,1/1/2000 12:00:00 AM,Single Catchbasin,10040893,CB-1142859,27702,98714,552 RHEINLAND PL,City of Waterloo,5-1920,Aerial Photo +/- 0.5m,Grate,,0,,Yes,-80.5819488238945,43.4609644300242
116,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10042985,CB-1142910,27728,98302,518 CHESAPEAKE CRES,City of Waterloo,5-1905,Aerial Photo +/- 0.5m,Grate,,0,,Yes,-80.515470079069,43.5110685306603
117,Active,1/1/1987 12:00:00 AM,Single Catchbasin,10039958,CLRN25R-9A,102,80196,585 WINGROVE CRT,City of Waterloo,5-1326,Eng Dwg/As Built +/- 2m,Grate,,356.96,,Yes,-80.5721231670146,43.461566179148
118,Active,1/1/1989 12:00:00 AM,Single Catchbasin,10041766,CB-1103706,5851,80216,683B PINEROW CRES,City of Waterloo,5-1485,Aerial Photo +/- 0.5m,Grate,,0,,Yes,-80.5717807569152,43.4509153287947
119,Active,1/1/1987 12:00:00 AM,Single Catchbasin,10044090,CLRN25R-64A,4295,80318,315 BUSHWOOD CRT,City of Waterloo,5-1325,Aerial Photo +/- 0.5m,Grate,,362.586,,Yes,-80.5737737807739,43.4609813098987
120,Active,1/1/1987 12:00:00 AM,Single Catchbasin,10037360,CLRN25R-63A,4295,80316,319 BUSHWOOD CRT,City of Waterloo,5-1325,Aerial Photo +/- 0.5m,Grate,,359.195,,Yes,-80.573893034936,43.4615354992369
121,Active,1/1/2002 12:00:00 AM,Single Catchbasin,10040319,CB-1143115,28903,101464,625 FRIEBURG DR,City of Waterloo,5-2064,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.5807338257947,43.4560205160506
