OBJECTID,LIFECYCLESTATUS,INSTALLDATE,ASSET_TYPE,ASSET_ID,ENTNAME,ROAD_ID,ADDRESS_ID,CIVIC_ADDRESS,OWNER,ASBUILTNUMBER,POSITION_ACCURACY,ACCESSTYPE,ACCESSDIAMETER,TOPOFCATCHBASIN,INVERTELEVATION,SUMP,x,y
7626,Active,1/1/2004 12:00:00 AM,Single Catchbasin,10037077,CB-1143203,393,93273,360 PHILLIP ST,City of Waterloo,,Eng Dwg/As Built +/- 2m,Grate,,0,,,-80.5393798245675,43.4772707151853
7627,Active,1/1/1973 12:00:00 AM,Single Catchbasin,10043853,CB-1142123,4091,74794,583 ROLLING HILLS DR,City of Waterloo,,Estimated/Unknown,Grate,,0,,Yes,-80.5613538357956,43.4886720705928
7628,Active,6/1/2011 12:00:00 AM,Single Catchbasin,10042392,CB-1149095,26210,89970,57 JOHN ST W,City of Waterloo,15-827,Eng Dwg/As Built +/- 2m,Grate,,328.675,327.271,,-80.5203197201498,43.4567246393289
7629,Active,1/1/1992 12:00:00 AM,Double Catchbasin,10037435,CB-1103554,3972,80516,360 CORNRIDGE PL 28,City of Waterloo,,GPS +/- 0.5m,Grate,,366.4,,Yes,-80.5774514275577,43.4598207754879
7630,Active,1/1/2005 12:00:00 AM,Single Catchbasin,10041593,CB-1143232,7319,78951,349 BEECHLAWN DR,City of Waterloo,,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.5613446612037,43.4694583661139
7631,Active,1/1/1989 12:00:00 AM,Single Catchbasin,10044388,CN2R-24,3333333,82446,477 FORESTLAWN RD,City of Waterloo,5-1450,Aerial Photo +/- 0.5m,Grate,,0,,NA,-80.4952136124086,43.5002173969063
7632,Active,1/1/2000 12:00:00 AM,Single Catchbasin,10041604,CB-1142760,27010,99927,659 SALZBURG DR,City of Waterloo,,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.5852974276843,43.4621411258697
7633,Active,1/1/1985 12:00:00 AM,Double Catchbasin,10044115,CB-1110804,5794,77930,486 HEATHER HILL PL,City of Waterloo,5-1125A,GPS +/- 0.5m,Grate,,368.02,,Yes,-80.5583433166585,43.4487179727717
7634,Active,1/1/1985 12:00:00 AM,Single Catchbasin,10040297,CB-1117940,7742,87619,455 KINGSCOURT DR 6,City of Waterloo,5-1335,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.5228139771375,43.4938555997615
7635,Active,1/1/1985 12:00:00 AM,Single Catchbasin,10040151,CB-1110805,5794,102957,524 HEATHER HILL PL,City of Waterloo,5-1292,Aerial Photo +/- 0.5m,Grate,,370.63,,Yes,-80.5616693263693,43.4489775440533
7636,Active,1/1/1961 12:00:00 AM,Single Catchbasin,10043647,CB-1127421,384,92951,294 HEMLOCK ST,City of Waterloo,,GPS +/- 0.5m,Grate,,340.616,,,-80.5332352275094,43.4778821122093
7637,Active,1/1/1972 12:00:00 AM,Single Catchbasin,10040403,CB-1128008,7365,94121,505 PARKSIDE DR,City of Waterloo,,Eng Dwg/As Built +/- 2m,Grate,,0,,Yes,-80.5455970146119,43.4892079791346
7638,Active,1/1/2005 12:00:00 AM,Single Catchbasin,10039450,CB-1143380,7189,73791,352 POMMEL GATE CRES,Region of Waterloo,41-330,GPS +/- 0.5m,Grate,,335.743,,,-80.5571476726251,43.4699459640751
7639,Active,1/1/1971 12:00:00 AM,Single Catchbasin,10039959,CB-1128110,6026,92745,28 WESTMOUNT RD S,Region of Waterloo,,GPS +/- 0.5m,Grate,,341.584,,,-80.5356465531732,43.457786878673
7640,Active,1/1/2005 12:00:00 AM,Single Catchbasin,10040392,CB-1131811,8597,90207,151 BELMONT AVE,City of Waterloo,15-735,Eng Dwg/As Built +/- 2m,Grate,,330.45,,Yes,-80.5219694151061,43.4567162366849
7641,Active,1/1/2005 12:00:00 AM,Single Catchbasin,10037321,L51R-119,6025,92907,225 LOURDES ST,City of Waterloo,,GPS +/- 0.5m,Grate,,340.08,,Yes,-80.5352892085546,43.4574546440556
7642,Active,1/1/1950 12:00:00 AM,Single Catchbasin,10037615,CB-1129940,1571,89179,71 JOHN ST E,City of Waterloo,,TSS,Grate,,326.69,,Yes,-80.5142297659365,43.4623722839118
7643,Active,1/1/1979 12:00:00 AM,Single Catchbasin,10039912,CB-1103659,184,79260,178 SANDFORD FLEMING DR,City of Waterloo,5-1018,Aerial Photo +/- 0.5m,Grate,,0,,Yes,-80.5654786887815,43.4562874059926
7644,Active,1/1/1978 12:00:00 AM,Single Catchbasin,10040649,CB-1109183,4568,76472,378A CHURCHILL CRT,City of Waterloo,5-949,GPS +/- 0.5m,Grate,,345,,No,-80.5506800837971,43.4546259023776
7645,Active,3/24/1983 12:00:00 AM,Single Catchbasin,10040995,CB-1128412,1580,91718,109 PARK ST,City of Waterloo,"5-728, 15-313",GPS +/- 0.5m,Grate,,327.951,,No,-80.5225263208528,43.4593859083835
7646,Active,1/1/2000 12:00:00 AM,Single Catchbasin,10040880,CB-1142656,28126,104661,875 UNIVERSITY AVE E 63,City of Waterloo,5-1950,Digitized +/- 2m,Grate,,0,,Yes,-80.4977023780487,43.5124256897358
7647,Active,1/1/1984 12:00:00 AM,Single Catchbasin,10044955,CB-1117905,3521,87142,252 OLD ABBEY RD,City of Waterloo,5-1155A,Aerial Photo +/- 0.5m,Grate,,0,,Yes,-80.5181955824213,43.5053143281813
7648,Active,1/1/1986 12:00:00 AM,Single Catchbasin,10043206,CB-1115784,3237,82625,394 DANSBURY DR,City of Waterloo,5-1074,Aerial Photo +/- 0.5m,Grate,,0,,Yes,-80.4992460392752,43.4982698378997
7649,Active,1/1/1956 12:00:00 AM,Single Catchbasin,10039075,CB-1102390,7294,92118,250 SUNVIEW ST,City of Waterloo,,GPS +/- 0.5m,Grate,,341.701,,,-80.533183856808,43.4738659027323
7650,Active,1/1/1982 12:00:00 AM,Single Catchbasin,10043711,CB-1142324,8027,75742,131 SUNPOINT CRES,City of Waterloo,,Estimated/Unknown,Grate,,0,,Yes,-80.5677850924701,43.4930896275375
7651,Active,1/1/1993 12:00:00 AM,Single Catchbasin,10043864,CB-1111064,4744,71537,619 WESTFIELD DR,City of Waterloo,5-1569,GPS +/- 0.5m,Grate,,387.27,,Yes,-80.5608855559301,43.4414600137215
7652,Active,10/19/2001 12:00:00 AM,Single Catchbasin,10145357,CB-1151310,28127,112179,2001 UNIVERSITY AVE E,City of Waterloo Property,5-2003,Eng Dwg/As Built +/- 2m,Grate,,,,Yes,-80.5016393566138,43.5178480170904
7653,Active,10/19/2001 12:00:00 AM,Single Catchbasin,10145355,CB-1151311,28127,112179,2001 UNIVERSITY AVE E,City of Waterloo Property,5-2003,Eng Dwg/As Built +/- 2m,Grate,,,,Yes,-80.5005256519239,43.5178638626428
7654,Active,10/19/2001 12:00:00 AM,Single Catchbasin,10145356,CB-1151312,28127,112179,2001 UNIVERSITY AVE E,City of Waterloo Property,5-2003,Eng Dwg/As Built +/- 2m,Grate,,,,Yes,-80.5004099662336,43.5180187661379
7655,Active,1/1/1999 12:00:00 AM,Single Catchbasin,10040550,LRL98-062A,3333333,70803,610 ROCK POINT CRES,City of Waterloo Property,5-1779,Eng Dwg/As Built +/- 2m,Grate,,352.9,,,-80.5773813495268,43.4926203287451
7656,Active,3/1/2004 12:00:00 AM,Single Catchbasin,10037100,CB-1147761,29543,104464,663 ERB ST W,Region of Waterloo,41-474,Eng Dwg/As Built +/- 2m,Grate,,383.27,,,-80.5694789827258,43.444681553393
7657,Active,1/1/1992 12:00:00 AM,Double Catchbasin,10037656,CB-1115649,13002,100557,0 BRIDLE TRAIL,City of Waterloo,5-1574, 15-1113,Digitized +/- 2m,Grate,,321.67,319.912,-80.483782463571,43.4864873914767
7658,Active,1/1/2012 12:00:00 AM,Single Catchbasin,10043990,CB-1149536,80912,104910,500 FISCHER-HALLMAN RD N,City of Waterloo,5-2321,Eng Dwg/As Built +/- 2m,Grate,,,,,-80.5693793511657,43.4754168808843
7659,Active,6/1/2010 12:00:00 AM,Single Catchbasin,10037043,CB-1149906,7837,86136,245 LEXINGTON RD,City of Waterloo,,Eng Dwg/As Built +/- 2m,Grate,,337.34,335.88,Yes,-80.5117054931928,43.4937168561213
7660,Active,1/1/1972 12:00:00 AM,Single Catchbasin,10038432,CLS4R-5,4617,72624,106 AMOS AVE,City of Waterloo,5-534,GPS +/- 0.5m,Grate,,335.53,,No,-80.5499094244839,43.4598085692865
7661,Active,1/1/1969 12:00:00 AM,Single Catchbasin,10039577,CB-1106579,44,74151,329 CRAIGLEITH DR,City of Waterloo,5-630,GPS +/- 0.5m,Grate,,342.238,,No,-80.5550406751529,43.4652223159762
7662,Active,,Single Catchbasin,10038526,CB-1128848,221,81434,15 UNIVERSITY AVE E,Region of Waterloo,,GPS +/- 0.5m,Grate,,320.85,,Yes,-80.5239217942247,43.4764406698533
7663,Active,1/1/1974 12:00:00 AM,Single Catchbasin,10043742,CB-1112101,172,93648,90 CULPEPPER DR,City of Waterloo,5-825,Aerial Photo +/- 0.5m,Grate,,340.367,,No,-80.5415125791183,43.4542067914801
7664,Active,1/1/1968 12:00:00 AM,Single Catchbasin,10038098,CB-1127600,1839,88087,405 WEBER ST N,Region of Waterloo,"5-1729,5-513",GPS +/- 0.5m,Grate,,333.045,,Yes,-80.5254314885518,43.4850076899946
7665,Active,1/1/1967 12:00:00 AM,Single Catchbasin,10039511, ,4808,100287,0 COLERIDGE DR,City of Waterloo,5-532,GPS +/- 0.5m,Grate,,334.051,,No,-80.5474589688232,43.4623473214123
7666,Active,3/24/1983 12:00:00 AM,Single Catchbasin,10038731,CB-1128168,1580,90595,76 NORMAN ST,City of Waterloo,"5-728, 15-314",GPS +/- 0.5m,Grate,,330.475,,Yes,-80.5236592765675,43.4583375695951
7667,Active,1/1/1992 12:00:00 AM,Double Catchbasin,10041698,CB-1115704,12814,94518,247 AUBURN DR,City of Waterloo,5-1607,Digitized +/- 2m,Grate,,0,,Yes,-80.4908390530631,43.4897779363669
7668,Active,1/1/1975 12:00:00 AM,Single Catchbasin,10045396,CB-1109245,4800,72635,80 GLENBURN DR,City of Waterloo,5-869,GPS +/- 0.5m,Grate,,337.428,,No,-80.5494946338075,43.4584316646199
7669,Active,1/1/1990 12:00:00 AM,Single Catchbasin,10039403,CB-1112090,6058,92725,80 MELBOURNE CRES,City of Waterloo,,GPS +/- 0.5m,Grate,,345.633,,Yes,-80.5358620229164,43.4545612784317
7670,Active,1/1/1987 12:00:00 AM,Single Catchbasin,10041936,F40L-017,8345,75219,274 CHELTONWOOD CRES,City of Waterloo,5-1319,Eng Dwg/As Built +/- 2m,Grate,,346.458,344.93,Yes,-80.5639831698052,43.5011375820854
7671,Active,,Single Catchbasin,10037164,L43R-20A,280,89205,135 ERB ST E,City of Waterloo,41-219,TSS,Grate,,322.69,,Yes,-80.5149074291715,43.4667453895158
7672,Active,5/1/2005 12:00:00 AM,Single Catchbasin,10044854,CB-1149868,7703,83281,270 EIWO CRT 209,Region of Waterloo,41-350,Eng Dwg/As Built +/- 2m,Grate,,334.286,332.5,Yes,-80.499632452451,43.4944819436165
7673,Active,,Single Catchbasin,10040462,CB-1142450,280,89159,66 MOORE AVE S,City of Waterloo,,TSS,Grate,,324.8,,NI,-80.5139137694107,43.4658468519701
