0 -0.016940 0.063390 -0.035623 -0.508071 0.511869 -0.488157 0.491484
1 -0.018631 0.063572 -0.033363 -0.508155 0.512054 -0.488071 0.491291
2 -0.018411 0.070369 -0.031841 -0.515632 0.505110 -0.481049 0.497573
3 -0.022000 0.086820 -0.028950 -0.539892 0.479353 -0.455942 0.520437
4 -0.025787 0.101668 -0.027441 -0.561927 0.453003 -0.430561 0.541889
5 -0.025727 0.107218 -0.025675 -0.572763 0.439594 -0.416517 0.552460
6 0.007156 0.116250 -0.027915 -0.572880 0.438310 -0.415919 0.553809
7 0.061759 0.133390 -0.026071 -0.572932 0.436566 -0.415165 0.555695
8 0.121528 0.152547 -0.027154 -0.573743 0.434830 -0.413905 0.557157
9 0.237103 0.187186 -0.028398 -0.575041 0.434042 -0.411739 0.558038
10 0.303481 0.205090 -0.027758 -0.574850 0.433038 -0.412191 0.558680
11 0.366630 0.224573 -0.029913 -0.575240 0.433979 -0.411678 0.557927
12 0.432084 0.243449 -0.033251 -0.576352 0.434953 -0.410809 0.556660
13 0.494159 0.264642 -0.033432 -0.579027 0.431129 -0.406650 0.559903
14 0.574881 0.314206 -0.033858 -0.606111 0.395084 -0.372260 0.581344
15 0.572082 0.315868 -0.031990 -0.603246 0.396080 -0.374733 0.582057
16 0.616505 0.354322 -0.032738 -0.614965 0.375226 -0.353787 0.596539
17 0.673491 0.382321 -0.039574 -0.614533 0.375085 -0.353675 0.597138
18 0.736476 0.440814 -0.040281 -0.632844 0.342046 -0.323261 0.614830
19 0.759765 0.462745 -0.044085 -0.638066 0.333061 -0.313237 0.619536
20 0.800444 0.491627 -0.046755 -0.637872 0.334240 -0.313208 0.619115
21 0.855534 0.529952 -0.043296 -0.637166 0.334362 -0.314513 0.619115
22 0.915896 0.570159 -0.049406 -0.637662 0.335650 -0.313884 0.618226
23 0.975212 0.607517 -0.040578 -0.638070 0.333265 -0.315478 0.618283
24 1.031144 0.652383 -0.038666 -0.637286 0.333651 -0.315422 0.618912
25 1.084415 0.689408 -0.039096 -0.636295 0.333117 -0.314537 0.620668
26 1.137752 0.728936 -0.039208 -0.635290 0.334023 -0.314551 0.621203
27 1.192579 0.767617 -0.045104 -0.635450 0.333639 -0.315613 0.620707
28 1.252692 0.807832 -0.049739 -0.636557 0.336319 -0.313953 0.618965
29 1.303431 0.840105 -0.054217 -0.636487 0.336953 -0.313373 0.618987
30 1.358908 0.888739 -0.056166 -0.637979 0.339069 -0.312645 0.616659
31 1.410791 0.933090 -0.051338 -0.639954 0.338538 -0.314511 0.613949
32 1.470133 0.971255 -0.049864 -0.640429 0.339894 -0.312468 0.613748
33 1.527093 1.011193 -0.050631 -0.640556 0.339284 -0.312141 0.614119
34 1.588544 1.051318 -0.054855 -0.639055 0.340147 -0.311485 0.615537
35 1.642253 1.090936 -0.054678 -0.639351 0.338879 -0.313845 0.614730
36 1.704162 1.133316 -0.060578 -0.638939 0.339443 -0.314097 0.614718
37 1.761974 1.173126 -0.066487 -0.638076 0.339856 -0.314645 0.615106
38 1.821439 1.211122 -0.066948 -0.638094 0.340486 -0.314423 0.614852
39 1.876910 1.251030 -0.066378 -0.638140 0.338974 -0.316393 0.614630
40 1.931995 1.289946 -0.062298 -0.637532 0.339793 -0.315386 0.615326
41 1.990027 1.329252 -0.068507 -0.636846 0.338735 -0.315494 0.616563
